course1,course2,n_students
5053UAU027F20250,5056UMV205M20250,1
5056UMV205M20250,5053UAU027F20250,1
2021HJÚ715G20250,2021HJÚ818L20250,113
2021HJÚ818L20250,2021HJÚ715G20250,113
2021HJÚ715G20250,2021HJÚ823G20250,113
2021HJÚ823G20250,2021HJÚ715G20250,113
2021HJÚ715G20250,2021HJÚ824G20250,115
2021HJÚ824G20250,2021HJÚ715G20250,115
2021HJÚ715G20250,2021HJÚ825G20250,38
2021HJÚ825G20250,2021HJÚ715G20250,38
2021HJÚ715G20250,2021HJÚ828G20250,39
2021HJÚ828G20250,2021HJÚ715G20250,39
2021HJÚ818L20250,2021HJÚ823G20250,111
2021HJÚ823G20250,2021HJÚ818L20250,111
2021HJÚ818L20250,2021HJÚ824G20250,112
2021HJÚ824G20250,2021HJÚ818L20250,112
2021HJÚ818L20250,2021HJÚ825G20250,38
2021HJÚ825G20250,2021HJÚ818L20250,38
2021HJÚ818L20250,2021HJÚ828G20250,38
2021HJÚ828G20250,2021HJÚ818L20250,38
2021HJÚ823G20250,2021HJÚ824G20250,112
2021HJÚ824G20250,2021HJÚ823G20250,112
2021HJÚ823G20250,2021HJÚ825G20250,37
2021HJÚ825G20250,2021HJÚ823G20250,37
2021HJÚ823G20250,2021HJÚ828G20250,37
2021HJÚ828G20250,2021HJÚ823G20250,37
2021HJÚ824G20250,2021HJÚ825G20250,38
2021HJÚ825G20250,2021HJÚ824G20250,38
2021HJÚ824G20250,2021HJÚ828G20250,39
2021HJÚ828G20250,2021HJÚ824G20250,39
2021HJÚ825G20250,2021HJÚ828G20250,41
2021HJÚ828G20250,2021HJÚ825G20250,41
2022LYF201G20250,2023HVS202G20250,41
2023HVS202G20250,2022LYF201G20250,41
2022LYF201G20250,2023LÆK408G20250,52
2023LÆK408G20250,2022LYF201G20250,52
2022LYF201G20250,5055EFN211G20250,44
5055EFN211G20250,2022LYF201G20250,44
2022LYF201G20250,5055EFN215G20250,45
5055EFN215G20250,2022LYF201G20250,45
2022LYF201G20250,5055EFN406G20250,49
5055EFN406G20250,2022LYF201G20250,49
2023HVS202G20250,2023LÆK408G20250,60
2023LÆK408G20250,2023HVS202G20250,60
2023HVS202G20250,5055EFN211G20250,44
5055EFN211G20250,2023HVS202G20250,44
2023HVS202G20250,5055EFN215G20250,43
5055EFN215G20250,2023HVS202G20250,43
2023HVS202G20250,5055EFN406G20250,40
5055EFN406G20250,2023HVS202G20250,40
2023LÆK408G20250,5055EFN211G20250,56
5055EFN211G20250,2023LÆK408G20250,56
2023LÆK408G20250,5055EFN215G20250,57
5055EFN215G20250,2023LÆK408G20250,57
2023LÆK408G20250,5055EFN406G20250,58
5055EFN406G20250,2023LÆK408G20250,58
5055EFN211G20250,5055EFN215G20250,55
5055EFN215G20250,5055EFN211G20250,55
5055EFN211G20250,5055EFN406G20250,50
5055EFN406G20250,5055EFN211G20250,50
5055EFN215G20250,5055EFN406G20250,52
5055EFN406G20250,5055EFN215G20250,52
2025SÁL605G20250,2025SÁL616L20250,1
2025SÁL616L20250,2025SÁL605G20250,1
2025SÁL605G20250,2025SÁL629G20250,30
2025SÁL629G20250,2025SÁL605G20250,30
2025SÁL616L20250,2025SÁL629G20250,8
2025SÁL629G20250,2025SÁL616L20250,8
4044FAG201F20250,4044SNU206F20250,3
4044SNU206F20250,4044FAG201F20250,3
4044FAG201F20250,4044SNU207F20250,1
4044SNU207F20250,4044FAG201F20250,1
4044FAG201F20250,4044ÍET214F20250,38
4044ÍET214F20250,4044FAG201F20250,38
4044SNU206F20250,4044SNU207F20250,6
4044SNU207F20250,4044SNU206F20250,6
4044SNU206F20250,4044ÍET214F20250,2
4044ÍET214F20250,4044SNU206F20250,2
4044SNU207F20250,4044ÍET214F20250,2
4044ÍET214F20250,4044SNU207F20250,2
3033ÍSE007G20250,3033ÍSE009G20250,211
3033ÍSE009G20250,3033ÍSE007G20250,211
3033ÍSE007G20250,3033ÍSE031G20250,233
3033ÍSE031G20250,3033ÍSE007G20250,233
3033ÍSE007G20250,3033ÍSE033G20250,241
3033ÍSE033G20250,3033ÍSE007G20250,241
1011FÉL262G20250,1012FRG205G20250,5
1012FRG205G20250,1011FÉL262G20250,5
1011FÉL262G20250,1012FRG212G20250,4
1012FRG212G20250,1011FÉL262G20250,4
1011FÉL262G20250,1015KYN201G20250,2
1015KYN201G20250,1011FÉL262G20250,2
1012FRG205G20250,1012FRG212G20250,132
1012FRG212G20250,1012FRG205G20250,132
1012FRG205G20250,1015KYN201G20250,5
1015KYN201G20250,1012FRG205G20250,5
1012FRG212G20250,1015KYN201G20250,5
1015KYN201G20250,1012FRG212G20250,5
5053LAN622G20250,5053LÍF614M20250,2
5053LÍF614M20250,5053LAN622G20250,2
5053LAN622G20250,5055EFN214G20250,1
5055EFN214G20250,5053LAN622G20250,1
5053LÍF614M20250,5055EFN214G20250,2
5055EFN214G20250,5053LÍF614M20250,2
5051REI202G20250,5051TÖL203G20250,16
5051TÖL203G20250,5051REI202G20250,16
5051REI202G20250,5051VON006G20250,3
5051VON006G20250,5051REI202G20250,3
5051REI202G20250,5055STÆ203G20250,21
5055STÆ203G20250,5051REI202G20250,21
5051TÖL203G20250,5051VON006G20250,24
5051VON006G20250,5051TÖL203G20250,24
5051TÖL203G20250,5055STÆ203G20250,41
5055STÆ203G20250,5051TÖL203G20250,41
5051VON006G20250,5055STÆ203G20250,52
5055STÆ203G20250,5051VON006G20250,52
4042LSS210G20250,4042LSS211G20250,3
4042LSS211G20250,4042LSS210G20250,3
4042LSS210G20250,4042LSS212G20250,21
4042LSS212G20250,4042LSS210G20250,21
4042LSS211G20250,4042LSS212G20250,9
4042LSS212G20250,4042LSS211G20250,9
1015OSS201F20250,1015OSS204F20250,31
1015OSS204F20250,1015OSS201F20250,31
1015OSS201F20250,1015OSS210F20250,17
1015OSS210F20250,1015OSS201F20250,17
1015OSS204F20250,1015OSS210F20250,41
1015OSS210F20250,1015OSS204F20250,41
1012FRG202G20250,1012FRG204G20250,129
1012FRG204G20250,1012FRG202G20250,129
1012FRG202G20250,1012FRG205G20250,124
1012FRG205G20250,1012FRG202G20250,124
1012FRG202G20250,1012FRG212G20250,128
1012FRG212G20250,1012FRG202G20250,128
1012FRG202G20250,1012FRG213G20250,125
1012FRG213G20250,1012FRG202G20250,125
1012FRG204G20250,1012FRG205G20250,131
1012FRG205G20250,1012FRG204G20250,131
1012FRG204G20250,1012FRG212G20250,138
1012FRG212G20250,1012FRG204G20250,138
1012FRG204G20250,1012FRG213G20250,124
1012FRG213G20250,1012FRG204G20250,124
1012FRG205G20250,1012FRG213G20250,121
1012FRG213G20250,1012FRG205G20250,121
1012FRG212G20250,1012FRG213G20250,125
1012FRG213G20250,1012FRG212G20250,125
1011FMÞ401G20250,1011FÉL204G20250,1
1011FÉL204G20250,1011FMÞ401G20250,1
1011FMÞ401G20250,1011FÉL446G20250,2
1011FÉL446G20250,1011FMÞ401G20250,2
1011FÉL204G20250,1011FÉL446G20250,1
1011FÉL446G20250,1011FÉL204G20250,1
2025SÁL201G20250,2025SÁL202G20250,89
2025SÁL202G20250,2025SÁL201G20250,89
2025SÁL201G20250,2025SÁL203G20250,95
2025SÁL203G20250,2025SÁL201G20250,95
2025SÁL201G20250,2025SÁL208G20250,86
2025SÁL208G20250,2025SÁL201G20250,86
2025SÁL202G20250,2025SÁL203G20250,90
2025SÁL203G20250,2025SÁL202G20250,90
2025SÁL202G20250,2025SÁL208G20250,85
2025SÁL208G20250,2025SÁL202G20250,85
2025SÁL203G20250,2025SÁL208G20250,88
2025SÁL208G20250,2025SÁL203G20250,88
1013HAG031M20250,1013HAG261L20250,10
1013HAG261L20250,1013HAG031M20250,10
1013HAG031M20250,1013HAG410G20250,18
1013HAG410G20250,1013HAG031M20250,18
1013HAG031M20250,1013HAG617M20250,18
1013HAG617M20250,1013HAG031M20250,18
1013HAG261L20250,1013HAG410G20250,17
1013HAG410G20250,1013HAG261L20250,17
1013HAG261L20250,1013HAG617M20250,11
1013HAG617M20250,1013HAG261L20250,11
1013HAG410G20250,1013HAG617M20250,17
1013HAG617M20250,1013HAG410G20250,17
1015KYN201G20250,1015STJ201G20250,37
1015STJ201G20250,1015KYN201G20250,37
1015KYN201G20250,1015STJ206G20250,37
1015STJ206G20250,1015KYN201G20250,37
1015KYN201G20250,1015STJ208G20250,49
1015STJ208G20250,1015KYN201G20250,49
1015STJ201G20250,1015STJ206G20250,39
1015STJ206G20250,1015STJ201G20250,39
1015STJ201G20250,1015STJ208G20250,36
1015STJ208G20250,1015STJ201G20250,36
1015STJ206G20250,1015STJ208G20250,35
1015STJ208G20250,1015STJ206G20250,35
5055STÆ203G20250,5055STÆ405G20250,6
5055STÆ405G20250,5055STÆ203G20250,6
5055STÆ203G20250,5056BYG401G20250,2
5056BYG401G20250,5055STÆ203G20250,2
5055STÆ203G20250,5056UMV201G20250,2
5056UMV201G20250,5055STÆ203G20250,2
5055STÆ203G20250,5056UMV401G20250,3
5056UMV401G20250,5055STÆ203G20250,3
5055STÆ205G20250,5055STÆ405G20250,13
5055STÆ405G20250,5055STÆ205G20250,13
5055STÆ205G20250,5056BYG401G20250,4
5056BYG401G20250,5055STÆ205G20250,4
5055STÆ205G20250,5056UMV201G20250,6
5056UMV201G20250,5055STÆ205G20250,6
5055STÆ205G20250,5056UMV401G20250,5
5056UMV401G20250,5055STÆ205G20250,5
5055STÆ405G20250,5056BYG401G20250,13
5056BYG401G20250,5055STÆ405G20250,13
5055STÆ405G20250,5056UMV201G20250,13
5056UMV201G20250,5055STÆ405G20250,13
5055STÆ405G20250,5056UMV401G20250,13
5056UMV401G20250,5055STÆ405G20250,13
5056BYG401G20250,5056UMV201G20250,14
5056UMV201G20250,5056BYG401G20250,14
5056BYG401G20250,5056UMV401G20250,14
5056UMV401G20250,5056BYG401G20250,14
5056UMV201G20250,5056UMV401G20250,15
5056UMV401G20250,5056UMV201G20250,15
5055EÐL401G20250,5055EÐL404M20250,14
5055EÐL404M20250,5055EÐL401G20250,14
5055EÐL401G20250,5055STÆ401G20250,16
5055STÆ401G20250,5055EÐL401G20250,16
5055EÐL401G20250,5055STÆ405G20250,10
